repo,stars,forks,pull_requests,pScore,pScore_normalized,popular,s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
echarts,62125,19696,30,82721,1.0,1,4,5.0,1,0.0,4,0.5,4,535,1.2205607476635514,163.25,0.3051401869158878,echarts,0,0,0.0,0.0
echarts,62125,19696,30,82721,1.0,1,5,4.8,2,0.0,3,0.3,4,414,1.8816425120772944,194.75,0.4704106280193236,echarts,1,0,0.0641562064156206,0.0
echarts,62125,19696,30,82721,1.0,1,6,9.333333333333334,1,0.1666666666666666,6,0.4,3,606,1.1105610561056103,224.33333333333337,0.3701870187018702,echarts,2,0,0.0178940123881624,0.2222222222222222
echarts,62125,19696,30,82721,1.0,1,8,28.0,1,0.6,8,0.5,2,510,1.03921568627451,265.0,0.5196078431372549,echarts,3,0,0.0257048092868988,0.25
echarts,62125,19696,30,82721,1.0,1,7,11.428571428571429,1,0.3523809523809524,7,0.4761904761904761,3,60,1.5,30.0,0.5,echarts,4,0,0.0578778135048231,0.2916666666666667
echarts,62125,19696,30,82721,1.0,1,6,5.333333333333333,2,0.5,3,0.3333333333333333,4,219,1.091324200913242,59.75,0.2728310502283105,echarts,5,1,0.109090909090909,0.2
echarts,62125,19696,30,82721,1.0,1,3,6.666666666666667,1,0.0,3,0.6666666666666666,3,26,1.1923076923076923,10.333333333333334,0.3974358974358974,echarts,6,1,0.044280442804428,0.1428571428571428
echarts,62125,19696,30,82721,1.0,1,0,0.0,0,0.0,0,0.0,1,3,1.0,3.0,1.0,echarts,7,0,0.0,0.0
echarts,62125,19696,30,82721,1.0,1,2,2.0,1,0.0,2,1.0,2,30,1.1666666666666667,17.5,0.5833333333333334,echarts,8,0,0.0,0.0
echarts,62125,19696,30,82721,1.0,1,7,9.142857142857142,1,0.3095238095238096,7,0.3333333333333333,5,107,1.1121495327102804,23.8,0.222429906542056,echarts,9,1,0.0451612903225806,0.125
echarts,62125,19696,30,82721,1.0,1,6,4.666666666666667,1,0.2777777777777777,6,0.4,6,52,1.0192307692307692,8.833333333333334,0.1698717948717948,echarts,10,1,0.1098265895953757,0.1538461538461538
echarts,62125,19696,30,82721,1.0,1,2,2.0,1,0.0,2,1.0,4,44,1.0227272727272727,11.25,0.2556818181818182,echarts,11,1,0.0816326530612244,0.0
echarts,62125,19696,30,82721,1.0,1,8,12.0,1,0.7232142857142857,8,0.4642857142857143,2,37,1.027027027027027,19.0,0.5135135135135135,echarts,12,1,0.2048192771084337,0.0
