repo,stars,forks,pull_requests,pScore,pScore_normalized,popular
any23,96,55,30,1051,0.012705358977768644,1
Omid,88,60,30,1048,0.012669092491628486,1
sis,100,45,30,1045,0.012632826005488328,1
Wave,217,98,27,1044,0.012620737176774942,1
manifoldcf,77,64,30,1041,0.012584470690634784,1
twill,69,70,30,1039,0.012560293033208013,1
Marvin,101,34,30,1035,0.012511937718354469,1
openwebbeans,68,61,30,1029,0.012439404746074153,1
synapse,71,57,30,1028,0.012427315917360767,1
oodt,63,60,30,1023,0.012366871773793838,1
lucy,99,24,30,1023,0.012366871773793838,1
streams,77,46,30,1023,0.012366871773793838,1
juneau,83,39,30,1022,0.012354782945080451,1
johnzon,53,66,30,1019,0.012318516458940294,1
ponymail,80,31,30,1011,0.012221805829233205,1
marmotta,54,51,30,1005,0.01214927285695289,1
NLPCraft,79,25,30,1004,0.012137184028239503,1
Uima,64,37,30,1001,0.012100917542099346,1
Composer,69,21,30,990,0.011967940426252101,1
Commonsrdf,47,42,30,989,0.011955851597538715,1
Pirk,57,26,30,983,0.0118833186252584,1
Tephra,32,50,30,982,0.011871229796545013,0
Wsrp4j,37,41,30,978,0.011822874481691469,0
Rat,30,48,30,978,0.011822874481691469,0
Tamaya,44,32,30,976,0.011798696824264697,0
bval,44,29,30,973,0.01176243033812454,0
Ariatosca,28,45,30,973,0.01176243033812454,0
Training,31,38,30,969,0.011714075023270995,0
Iota,33,30,30,963,0.01164154205099068,0
Milagro,42,13,30,955,0.011544831421283592,0
Jdo,31,18,30,949,0.011472298449003276,0
vxquery,20,29,30,949,0.011472298449003276,0
Horn,28,16,30,944,0.011411854305436345,0
flagon,25,15,30,940,0.011363498990582803,0
openejb,12,26,30,938,0.01133932133315603,0
Axion,12,23,30,935,0.011303054847015872,0
juddi,18,14,30,932,0.011266788360875715,0
Mrql,17,15,30,932,0.011266788360875715,0
Bluemarlin,2,7,30,909,0.010988745300467838,0
geronimo,37,22,28,843,0.010190882605384364,0
SDAP,4,5,27,738,0.008921555590478839,0
Log4php,100,81,22,665,0.008039071094401664,0
hama,131,71,20,602,0.007277474885458348,0
oltu,163,120,17,572,0.006914810024056769,0
rave,15,11,23,555,0.0067092999359292076,0
clerezza,36,26,22,546,0.006600500477508734,0
xmlbeans,54,62,20,516,0.0062378356161071555,0
sirona,110,46,17,445,0.005379528777456752,0
directmemory,53,27,19,441,0.005331173462603208,0
Batchee,14,17,20,431,0.0052102851754693485,0
spamassassin,285,77,2,366,0.004424511309099262,0
ctakes,62,13,17,364,0.00440033365167249,0
Empire,83,23,16,362,0.0043761559942457175,0
Htrace,106,82,13,357,0.004315711850678788,0
sentry,120,88,11,329,0.003977224646703981,0
Apollo,153,70,10,323,0.003904691674423665,0
qpid,128,86,10,314,0.0037958922160031914,0
ace,27,23,16,306,0.003699181586296104,0
npanday,14,14,16,284,0.0034332273546016125,0
wookie,6,5,15,236,0.0028529635763590864,0
ftpserver,79,54,10,233,0.0028166970902189286,0
allura,133,35,8,232,0.0028046082615055426,0
chukwa,84,40,10,224,0.002707897631798455,0
Slider,78,72,8,214,0.0025870093446645954,0
whirr,93,58,7,200,0.002417765742677192,0
bloodhound,147,30,3,186,0.0022485221406897886,0
wink,20,22,12,186,0.0022485221406897886,0
shindig,66,68,7,183,0.002212255654549631,0
ode,44,60,8,168,0.0020309232238488414,0
vcl,12,19,11,152,0.0018375019644346659,0
deltacloud,72,25,7,146,0.0017649689921543502,0
pluto,4,7,11,132,0.0015957253901669468,0
lenya,18,7,10,125,0.001511103589173245,0
harmony,86,38,0,124,0.001499014760459859,0
Cotton,91,22,0,113,0.0013660376446126136,0
hcatalog,60,45,2,109,0.0013176823297590696,0
datasketches,95,10,1,106,0.0012814158436189119,0
Blur,33,31,6,100,0.001208882871338596,0
Openaz,17,25,7,91,0.0011000834129181224,0
Taverna,16,9,8,89,0.0010759057554913505,0
stdcxx,63,25,0,88,0.0010638169267779645,0
Pubscribe,4,3,9,88,0.0010638169267779645,0
Kabuki,73,3,2,80,0.0009671062970708768,0
Zeta,47,14,4,77,0.0009308398109307189,0
kalumet,7,5,8,76,0.0009187509822173329,0
pivot,42,24,0,66,0.0007978626950834734,0
S4,42,17,2,63,0.0007615962089433155,0
mrunit,38,24,1,63,0.0007615962089433155,0
esme,17,8,6,61,0.0007374185515165436,0
sanselan,35,16,3,60,0.0007253297228031576,0
abdera,18,24,4,58,0.0007011520653763856,0
Concerted,11,5,6,52,0.0006286190930960699,0
photark,10,6,6,52,0.0006286190930960699,0
Beehive,1,1,5,27,0.00032639837526142094,0
etch,17,8,0,25,0.000302220717834649,0
click,14,11,0,25,0.000302220717834649,0
Corinthia,16,5,0,21,0.0002538654029811052,0
Yoko,3,13,2,20,0.0002417765742677192,0
tashi,9,7,2,20,0.0002417765742677192,0
Hdt,7,7,1,15,0.0001813324307007894,0
Devicemap,9,5,0,14,0.00016924360198740344,0
onami,11,3,0,14,0.00016924360198740344,0
Tuscany,7,5,0,12,0.00014506594456063153,0
Provisionr,5,7,0,12,0.00014506594456063153,0
chemistry,7,5,0,12,0.00014506594456063153,0
nuvem,2,3,2,9,0.00010879945842047365,0
Warble,1,2,1,4,4.835531485354384e-05,0
Cmda,1,3,0,4,4.835531485354384e-05,0
Amaterasu,0,1,0,1,1.208882871338596e-05,0
Avalon,0,0,0,0,0.0,0
