s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
13,74.15384615384616,1,0.6874625374625374,13,0.38461538461538464,2,201,1.0597014925373134,106.5,0.5298507462686567,abdera,0,1,0.0,0.0
15,34.13333333333333,1,0.39275132275132274,15,0.24761904761904763,3,218,1.2522935779816513,91.0,0.41743119266055045,abdera,1,2,0.19135802469135801,0.19642857142857142
18,22.0,2,0.39982363315696645,14,0.1568627450980392,3,171,1.1403508771929824,65.0,0.38011695906432746,abdera,2,2,0.14743589743589744,0.14
15,22.666666666666668,1,0.4498989898989899,15,0.22857142857142856,1,195,1.0,195.0,1.0,abdera,3,0,0.2358974358974359,0.1875
16,19.0,2,0.16309523809523807,14,0.14166666666666666,2,72,1.0694444444444444,38.5,0.5347222222222222,abdera,4,1,0.13970588235294118,0.17073170731707318
15,17.866666666666667,2,0.33629629629629626,13,0.17142857142857143,3,92,1.0326086956521738,31.666666666666668,0.3442028985507246,abdera,5,2,0.0755813953488372,0.17142857142857143
21,13.714285714285714,1,0.3286935286935287,21,0.13333333333333333,2,27,1.0,13.5,0.5,abdera,6,1,0.08196721311475409,0.13043478260869565
10,4.8,2,0.0,8,0.17777777777777778,2,8,1.0,4.0,0.5,abdera,7,1,0.05714285714285714,0.027777777777777776
14,9.428571428571429,3,0.25595238095238093,10,0.15384615384615385,1,52,1.0,52.0,1.0,abdera,8,0,0.03333333333333333,0.045454545454545456
9,13.777777777777779,2,0.2592592592592593,6,0.25,1,103,1.0,103.0,1.0,abdera,9,0,0.11612903225806452,0.08695652173913043
12,9.333333333333334,1,0.20238095238095236,12,0.19696969696969696,1,52,1.0,52.0,1.0,abdera,10,0,0.15483870967741936,0.22727272727272727
9,15.555555555555555,1,0.2275132275132275,9,0.25,2,95,1.0105263157894737,48.0,0.5052631578947369,abdera,11,1,0.13513513513513514,0.09090909090909091
8,13.0,1,0.42083333333333334,8,0.32142857142857145,1,41,1.0,41.0,1.0,abdera,12,0,0.15328467153284672,0.16666666666666666
9,8.444444444444445,1,0.22619047619047616,9,0.25,1,169,1.0,169.0,1.0,abdera,13,0,0.11904761904761904,0.16666666666666666
20,24.6,2,0.37439560439560443,18,0.14736842105263157,1,151,1.0,151.0,1.0,abdera,14,1,0.18125,0.10810810810810811
26,28.46153846153846,1,0.2350463262227968,26,0.1076923076923077,2,139,1.0071942446043165,70.0,0.5035971223021583,abdera,15,1,0.10309278350515463,0.14285714285714285
