project_id,incubation_length,active_devs,num_commits,num_committers,num_files,num_emails,num_senders,num_respondents,skew_c,skew_e,c_percentage,e_percentage,inactive_c,inactive_e,c_nodes,c_edges,c_c_coef,c_mean_degree,c_long_tail,c_triangles,e_nodes,e_edges,e_c_coef,e_mean_degree,e_long_tail,e_triangles,e_bidirected_edges
100,25.7,30,3568,4,519,420,26,25,0.6311896301639117,0.389024515436828,0.6121076233183856,0.7690476190476191,0.27860026917900405,0.18276762402088773,4,6,1.0,3.0,0,4.0,26,49,0.40166500166500174,3.769230769230769,2,29.0,77
101,43.166666666666664,49,2339,5,430,1547,47,46,0.1637545925980606,0.1875376725096574,0.5087644292432664,0.7763413057530705,0.16889238020424194,0.1239147592738753,5,9,0.9,3.6,3,7.0,48,118,0.5546676362852835,4.916666666666667,4,77.0,187
102,24.766666666666666,69,1946,8,265,4894,63,66,-0.35071852962120875,-0.0009543907589467051,0.41778006166495374,0.7196567225173682,0.06882591093117409,0.041223404255319146,8,26,0.9404761904761905,6.5,7,45.0,68,262,0.4728563621558258,7.705882352941177,19,539.0,432
103,53.233333333333334,64,6451,8,2084,1710,56,57,0.6390655512024028,0.42473709447568997,0.411099054410169,0.8011695906432749,0.37700348432055747,0.1306892067620286,8,16,0.7041666666666667,4.0,6,14.0,58,153,0.4449662661914678,5.275862068965517,7,131.0,232
104,21.0,96,6467,16,888,1819,86,81,-0.7328831577519671,-0.8631156117582246,0.42894696149683004,0.7267729521715228,0.10031847133757962,0.054770318021201414,16,87,0.8494519369519369,10.875,14,244.0,87,227,0.44986554288350755,5.218390804597701,5,164.0,343
105,20.7,197,4539,13,1695,5821,187,180,-0.5144879088638339,-0.4347532494397023,0.679665124476757,0.7570864112695413,0.09807073954983923,0.027607361963190184,13,64,0.9244755244755244,9.846153846153847,11,181.0,189,766,0.5087828226898373,8.105820105820106,8,1583.0,1209
106,16.366666666666667,156,3043,39,1512,1375,133,129,0.45329799437668816,0.43832706927352283,0.7791652974038777,0.5549090909090909,0.13963039014373715,0.038461538461538464,37,239,0.7782862946575984,12.91891891891892,21,947.0,134,322,0.25772652954801106,4.8059701492537314,15,227.0,488
107,11.833333333333334,629,10533,31,6101,19063,599,589,-0.18238804067771885,0.17901446799571186,0.8067027437577139,0.7963594397524,0.07162534435261708,0.0055248618784530384,28,144,0.7417610821565883,10.285714285714286,21,392.0,604,3584,0.3609432786822045,11.867549668874172,28,14301.0,4918
108,8.233333333333333,125,18475,18,3067,2719,121,113,0.49193662177661285,0.23771399692102255,0.4542354533152909,0.700993012136815,0.059113300492610835,0.029045643153526972,18,126,0.8961350196644317,14.0,17,501.0,121,460,0.5361197054251993,7.603305785123967,15,861.0,639
109,12.433333333333334,155,2181,10,951,8670,147,145,0.7318477284811221,-0.7543611154631278,0.5653370013755158,0.8174163783160323,0.09259259259259259,0.021505376344086023,10,30,0.7635714285714286,6.0,9,46.0,149,512,0.35950158601216703,6.87248322147651,18,819.0,870
110,14.266666666666667,22,2626,7,525,576,19,18,1.0382334527487853,0.6501072783121188,0.3750952018278751,0.5798611111111112,0.4551148225469729,0.20417633410672853,6,12,0.9,4.0,5,11.0,19,43,0.5922527764633029,4.526315789473684,5,31.0,65
112,57.5,94,1579,1,322,880,93,88,2.4059670303396956,-0.6116844498528332,1.0,0.6829545454545455,0.19794344473007713,0.12040557667934093,0,0,0,0,0,0,93,158,0.31391359065382834,3.3978494623655915,2,47.0,255
113,18.966666666666665,278,133011,80,8690,10865,240,232,-0.32783875966265924,-0.3141481883495448,0.66619302162979,0.7196502531063046,0.04833333333333333,0.010309278350515464,79,1759,0.8546658676131079,44.53164556962025,65,23662.0,240,1162,0.3993658684911028,9.683333333333334,31,3317.0,1733
115,9.633333333333333,75,748,6,213,2889,69,68,0.1698607189299853,0.33059605045613377,0.6724598930481284,0.7189338871581862,0.20577617328519857,0.0425531914893617,5,10,1.0,4.0,0,10.0,69,240,0.5403460562218388,6.956521739130435,8,292.0,412
116,15.866666666666667,55,491,9,175,1633,50,51,1.1150788147780302,-0.9390179088328108,0.6945010183299389,0.6497244335578689,0.37763713080168776,0.12190082644628099,9,20,0.8005291005291005,4.444444444444445,4,17.0,51,152,0.46841373166450573,5.96078431372549,12,156.0,244
117,23.866666666666667,120,7612,10,1593,1943,113,109,0.31163401865566887,-0.6062770420084044,0.6626379400945875,0.7642820380854349,0.12401883830455258,0.06676342525399129,10,23,0.7507936507936508,4.6,7,23.0,113,244,0.35351545995569,4.31858407079646,6,130.0,398
118,8.2,89,2634,11,1575,1490,85,85,1.033697662814878,0.1013090217529231,0.8276385725132878,0.6939597315436241,0.0935672514619883,0.04819277108433735,11,32,0.8384559884559885,5.818181818181818,7,42.0,88,278,0.3885748029621395,6.318181818181818,13,442.0,424
119,21.466666666666665,108,8074,23,1851,2556,94,91,-0.022265487006980732,-0.4044208825801826,0.9279167698786227,0.8826291079812206,0.10644257703081232,0.106544901065449,23,56,0.701118311550402,4.869565217391305,4,56.0,94,164,0.2977047280609873,3.4893617021276597,4,54.0,275
120,48.56666666666667,119,4183,8,787,8357,113,112,-0.3718182991784658,-0.602749174888682,0.7339230217547215,0.9164772047385426,0.10006949270326616,0.06343792633015007,8,17,0.7261904761904762,4.25,7,16.0,114,251,0.37578913029394245,4.4035087719298245,2,171.0,387
121,17.633333333333333,474,34237,13,8972,30872,462,456,-0.977878919958997,-1.4750461062339868,0.47165347431141746,0.8134555584348276,0.1306930693069307,0.022099447513812154,13,67,0.9177933177933179,10.307692307692308,12,194.0,470,2691,0.4493049259237348,11.451063829787234,9,8784.0,4298
