Podling,Sponsor,start_date,elapsed_days,reporting_monthly,reporting_group,has_status_file,status_update_date,status_age,status_update_counts,no_of_committers,no_of_new_committers,has_a_code_repo,has_issue_tracker,has_a_dev_mailing_list,has_a_commits_mailing_list,has_website,has_distribution_area,has_release_signing_keys,has_release_distribution_area,stars,forks,pull_requests,pScore,Popular
Seata,,2023-10-29,496,False,2,True,2023-12-02,462,"0,0,0",30,0,True,True,True,True,True,True,True,True,25521,8811,30,35232,1
HertzBeat,Incubator,2024-04-05,337,False,1,True,2024-04-11,331,"0,0,0",25,0,True,True,True,True,True,True,True,True,6039,1065,30,8004,1
Grails,Groovy,2025-01-25,42,False,1,False,,0,,9,0,False,False,False,False,False,False,False,False,2794,953,30,4647,1
Fury,Incubator,2023-12-15,449,False,2,True,2023-12-16,448,"0,0,0",12,0,True,True,True,True,True,True,True,True,3227,265,30,4392,1
HugeGraph,Incubator,2022-01-23,1140,False,1,True,2024-12-13,85,"0,1,1",18,6,True,True,True,False,True,True,True,True,2707,527,30,4134,1
DevLake,Incubator,2022-04-29,1044,False,2,True,2022-05-12,1031,"0,0,0",34,0,True,True,True,True,True,True,True,True,2668,556,30,4124,1
HoraeDB,Incubator,2023-12-11,453,False,2,True,2023-12-16,448,"0,0,0",15,0,True,True,True,True,True,True,True,True,2712,211,30,3823,1
Iggy,Incubator,2025-02-04,32,True,2,True,2025-03-07,1,"3,-,-",12,0,True,True,True,True,True,False,False,False,2347,121,30,3368,1
Pegasus,Incubator,2020-06-28,1714,False,1,True,2023-12-20,444,"0,0,0",19,5,True,True,True,True,True,True,True,True,2002,311,30,3213,1
Gravitino,Incubator,2024-06-04,277,True,3,False,,0,,25,0,True,False,False,False,True,True,True,True,1371,415,30,2686,1
Gluten,Incubator,2024-01-11,422,False,1,True,2024-01-15,418,"0,0,0",37,0,True,True,True,True,True,True,True,True,1286,466,30,2652,1
Polaris,Incubator,2024-08-09,211,False,3,True,2024-08-27,193,"0,0,1",21,0,True,True,True,True,True,True,True,True,1371,199,30,2470,1
Livy,Incubator,2017-06-05,2833,False,1,True,2017-06-23,2815,"0,0,0",24,0,True,False,False,False,True,True,True,True,904,606,30,2410,1
Amoro,Incubator,2024-03-11,362,False,1,True,2024-03-19,354,"0,0,0",24,0,True,True,True,True,True,True,True,True,930,316,30,2146,1
StormCrawler,Incubator,2024-03-19,354,False,1,True,2024-03-29,344,"0,0,0",10,0,True,True,True,True,True,True,True,True,901,262,30,2063,1
XTable,Incubator,2024-02-11,391,False,2,True,2024-05-16,296,"0,0,0",10,0,True,True,True,True,True,True,True,True,994,164,30,2058,1
Cloudberry,Incubator,2024-10-11,148,False,2,True,2024-12-05,93,"0,1,4",24,0,True,False,True,True,True,False,False,False,902,138,30,1940,1
Toree,Incubator,2015-12-02,3384,True,2,True,2020-07-19,1693,"0,0,0",11,3,True,True,False,False,True,True,True,True,741,224,30,1865,0
Teaclave,Incubator,2019-08-20,2027,True,1,True,2023-04-04,704,"0,0,0",25,3,True,False,False,False,True,True,True,True,773,160,30,1833,0
Baremaps,Incubator,2022-10-10,880,False,3,True,2022-10-20,870,"0,0,0",14,0,True,True,True,True,True,True,True,True,531,67,30,1498,0
Uniffle,Incubator,2022-06-06,1006,False,3,True,2022-10-24,866,"0,0,0",22,1,True,False,True,True,True,True,True,True,402,154,30,1456,0
ResilientDB,Incubator,2023-10-21,504,False,1,True,2024-04-11,331,"0,0,0",31,0,True,False,True,False,True,True,True,True,145,214,30,1259,0
OpenServerless,Incubator,2024-06-17,264,False,3,True,2024-07-20,231,"0,0,2",13,0,True,True,True,True,True,False,False,False,535,15,26,1226,0
Wayang,Incubator,2020-12-16,1543,False,3,True,2021-01-22,1506,"0,0,0",16,0,True,False,True,True,True,True,True,True,217,91,30,1208,0
GraphAr,Incubator,2024-03-25,348,False,2,True,2024-04-07,335,"0,0,0",11,0,True,True,True,True,True,True,True,True,233,45,30,1178,0
Annotator,Incubator,2016-08-30,3112,False,1,True,2020-10-09,1611,"0,0,0",8,0,True,True,False,False,True,True,True,True,231,41,30,1172,0
Nemo,Incubator,2018-02-04,2589,True,3,True,2018-03-01,2564,"0,0,0",18,0,True,True,True,True,True,True,True,True,112,64,30,1076,0
OzHera,Incubator,2024-07-11,240,False,3,False,,0,,13,0,True,False,False,False,True,True,True,False,91,35,30,1026,0
Pony Mail,Incubator,2016-05-27,3207,True,1,True,2024-07-19,232,"0,0,1",11,0,True,True,True,True,True,True,True,True,80,31,30,1011,0
NLPCraft,Incubator,2020-02-13,1850,False,2,True,2020-10-08,1612,"0,0,0",10,1,True,False,False,False,True,True,True,True,79,25,30,1004,0
Training,Incubator,2019-02-21,2207,True,2,True,2019-02-28,2200,"0,0,0",17,0,True,True,True,True,True,True,True,True,31,38,30,969,0
Otava,Incubator,2024-11-27,101,False,3,True,2025-02-21,15,"2,4,-",9,1,True,False,True,True,False,False,False,False,58,12,26,746,0
KIE,Incubator,2023-01-13,785,False,3,True,2024-02-13,389,"0,0,0",64,0,True,True,True,True,True,True,True,True,12,1,1,14,0
